Name	Notes	Age	FakeAddresses	Hobbies
Beth Ibbott		19	35 Mill Pond Ave. Lowell, MA 01851	Shopping
Miranda Gabrielson		29	66 University Ave. Perth Amboy, NJ 08861	Cooking
Clemence Sutton		29	476 Honey Creek Rd. Lorton, VA 22079	Socializing with friends/neighbors
Cecelia Jerome		27	9378 Mayfield St. Media, PA 19063	Kites
Carlie Dickson		30	2 North Lantern St. Fleming Island, FL 32003	Boating
Scottie Derrickson		41	812 Chestnut Rd. Chelsea, MA 02150	Scuba Diving
Ronny Tittensor		28	775 State St. Port Huron, MI 48060	Amateur Astronomy
Wiley Snyder		36	8881 Pine Court Billerica, MA 01821	Rescuing Abused Or Abandoned Animals
Kristina Wolfe		27	7225 High Ridge Lane Athens, GA 30605	People Watching
Ava Plank		23	535 Eagle Street Upper Marlboro, MD 20772	Floral Arrangements
Rosanne Winfield		25	7 Thorne Ave. Union City, NJ 07087	R/C Helicopters
Rodge Stenet		48	635 Wrangler St. Harrisburg, PA 17109	Model Rockets
Linwood Hardy		29	7271 Paris Hill Drive Cranberry Twp, PA 16066	Home Theater
Gill Bonner		28	31 Pennsylvania St. Avon Lake, OH 44012	Golf
Earnest Fairchild		33	1 SE. Oakwood Ave. Willingboro, NJ 08046	Legos
Martha Kellogg		33	7 Cypress Ave. Cuyahoga Falls, OH 44221	Blacksmithing
Clarice Stidolph		50	7 Thorne Ave. Union City, NJ 07087	Letterboxing
Hillary Wallace		47	64 N. 2nd St. Bemidji, MN 56601	Paintball
Patricia Goffe		64	8017 NW. Victoria Ave. Lilburn, GA 30047	Beachcombing
Ogden Turnbull		17	7111 Sunnyslope Ave. Bowling Green, KY 42101	Arts
Julie Janson		31	9575 New St. Sun City, AZ 85351	Macrame
Frederick Prescott		19	140 Gonzales Circle Far Rockaway, NY 11691	Woodworking
Jeffrey Huddleson		47	70 Military St. Chester, PA 19013	Musical Instruments
Cy Wolf		46	643 Rockville Ave. Winter Springs, FL 32708	Slack Lining
Honora Harley		18	692 NW. Foster Dr. Bangor, ME 04401	Kayaking
Luella Vann		40	472 Myrtle St. Long Branch, NJ 07740	Sketching
Suzie Barber		34	49 Harrison Street Royal Oak, MI 48067	Saltwater Aquariums
Mabel Patrick		23	9790 Richardson Drive Levittown, NY 11756	Baseball
Mick Anson		28	64 Bellevue Ave. Port Richey, FL 34668	Jet Engines
Gord Buckley		31	76 North Pin Oak St. Danville, VA 24540	Magic
Nickolas Endicott		52	7764 Beacon Rd. Minot, ND 58701	Treasure Hunting
Elisabeth Tennison		59	9781 Thomas Road Bedford, OH 44146	Modeling Ships
Bethany Fishman		20	7 Gonzales St. Camden, NJ 08105	Magic
Darius Bardsley		29	523 W. Manor Station Lane Stratford, CT 06614	Glowsticking
Daphne Fear		42	8066 W. High Ridge Drive Nicholasville, KY 40356	Puppetry
Johnna Haight		41	381 Lakeshore Ave. Altamonte Springs, FL 32714	Video Games
Dayna Elmerson		46	47 Miles Rd. Saint Cloud, MN 56301	Collecting Antiques
Ernest Lockwood		19	955 Plumb Branch Dr. Alabaster, AL 35007	Bell Ringing
Dwayne Elliston		37	59 William Court Barrington, IL 60010	Storytelling
Pamelia Jackson		53	16 Lyme Avenue Delray Beach, FL 33445	Camping
Grady Morriss		28	7284 N. Newbridge Court New Berlin, WI 53151	Ceramics
Selma Newport		34	433 East Courtland Lane Trussville, AL 35173	Horse riding
Jeremy Blackman		25	51 Strawberry Street Pittsford, NY 14534	Frisbee Golf
Barbra Teel		42	701 E. Country Club Road Mount Laurel, NJ 08054	Drawing
Christian Ryley		64	14 Myrtle Dr. Fort Worth, TX 76110	Bonsai Tree
Mona Baker		32	59 Myers Street Elmont, NY 11003	Fishing
Travis Pierson		30	477 Ivy Drive Perkasie, PA 18944	Meditation
Jarred Palmer		30	399 Ridge St. Lexington, NC 27292	Educational Courses
